"","id","title","author_id","description","content","date"
"11",11,"Contractility-driven cell motility against a viscoelastic resistance","Tapas Singha, Pierre Sens","Biological Physics (physics.bio-ph)","We study a model of contraction-based cell motility inside a microchannel to investigate the regulation of cell polarization and motion by the mechanical resistance of the environment. A positive feedback between the asymmetry of the acto-myosin cortex density and cell motion gives rise to a spontaneous symmetry breaking beyond a threshold contractility that depends on the resistance of extracellular medium. In highly viscous environments, we predict bistability under moderate contractility, so that symmetry breaking needs to be activated. In a viscoelastic environment, we find periodic oscillations in cortex density and velocity polarization. At the boundary between viscous and viscoelastic environments, the cell may either cross into the viscoelastic medium, bounce back into the viscous medium, or become trapped at the boundary. The different scenarios defined different phase diagram that are confirmed by numerical simulations.","Tue, 27 Feb 2024 16:42:59 UTC (1,170 KB)"
"12",12,"TorchMD-Net 2.0: Fast Neural Network Potentials for Molecular Simulations","Raul P. Pelaez, Guillem Simeon, Raimondas Galvelis, Antonio Mirarchi, Peter Eastman, Stefan Doerr, Philipp Thölke, Thomas E. Markland, Gianni De Fabritiis","Machine Learning (cs.LG)","Achieving a balance between computational speed, prediction accuracy, and universal applicability in molecular simulations has been a persistent challenge. This paper presents substantial advancements in the TorchMD-Net software, a pivotal step forward in the shift from conventional force fields to neural network-based potentials. The evolution of TorchMD-Net into a more comprehensive and versatile framework is highlighted, incorporating cutting-edge architectures such as TensorNet. This transformation is achieved through a modular design approach, encouraging customized applications within the scientific community. The most notable enhancement is a significant improvement in computational efficiency, achieving a very remarkable acceleration in the computation of energy and forces for TensorNet models, with performance gains ranging from 2-fold to 10-fold over previous iterations. Other enhancements include highly optimized neighbor search algorithms that support periodic boundary conditions and the smooth integration with existing molecular dynamics frameworks. Additionally, the updated version introduces the capability to integrate physical priors, further enriching its application spectrum and utility in research. The software is available at this https URL.","Tue, 27 Feb 2024 16:27:06 UTC (722 KB)"
"13",13,"Computing eigenfrequency sensitivities near exceptional points","Felix Binkowski, Julius Kullig, Fridtjof Betz, Lin Zschiedrich, Andrea Walther, Jan Wiersig, Sven Burger","Computational Physics (physics.comp-ph)","Exceptional points are spectral degeneracies of non-Hermitian systems where both eigenfrequencies and eigenmodes coalesce. The eigenfrequency sensitivities near an exceptional point are significantly enhanced, whereby they diverge directly at the exceptional point. Capturing this enhanced sensitivity is crucial for the investigation and optimization of exceptional-point-based applications, such as optical sensors. We present a numerical framework, based on contour integration and algorithmic differentiation, to accurately and efficiently compute eigenfrequency sensitivities near exceptional points. We demonstrate the framework to an optical microdisk cavity and derive a semi-analytical solution to validate the numerical results. The computed eigenfrequency sensitivities are used to track the exceptional point along an exceptional surface in the parameter space. The presented framework can be applied to any kind of resonance problem, e.g., with arbitrary geometry or with exceptional points of arbitrary order.","Tue, 27 Feb 2024 16:18:40 UTC (1,156 KB)"
"14",14,"Current potential patches","Todd Elder, Allen H Boozer","Plasma Physics (physics.plasm-ph)","A novel form of the current potential, a mathematical tool for the design of stellarators and stellarator coils, is developed. Specifically, these are current potentials with a finite-element-like basis, called 	extit{current potential patches}. Current potential patches leverage the relationship between distributions of magnetic dipoles and current potentials to explore limits of the access properties of stellarator coil sets. An example calculation is shown using the Helically Symmetric Experiment (HSX) equilibrium, demonstrating the method's use in coil design and understanding the limits of the access properties of coil sets. Current potential patches have additional desirable properties such as of promoting sparse current sheet solutions and identifying crucial locations of shaping current placement. A result is found for the HSX equilibrium that shaping currents covering only 25% of the winding surface is sufficient to produce the equilibrium to a good accuracy.","Tue, 27 Feb 2024 16:00:21 UTC (24,191 KB)"
"15",15,"Sustained Robust Exciton Emission in Suspended Monolayer WSe_2 within the Low Carrier Density Regime for Quantum Emitter Applications","Zheng-Zhe Chen, Chiao-Yun Chang, Ya-Ting Tsai, Po-Cheng Tsai, Shih-Yen Lin, Min-Hsiung Shih","Optics (physics.optics)","The development of semiconductor optoelectronic devices is moving toward low power consumption and miniaturization, especially for high-efficiency quantum emitters. However, most of these quantum sources work at low carrier density region, where the Shockley-Read-Hall recombination may dominant and seriously reduce the emission efficiency. In order to diminish the affection of carrier trapping and sustain a strong photoluminescence emission under low power pumping condition, we investigated on the influence of Suspending to monolayered tungsten diselenide, novel two-dimensional quantum material. Not only the PL intensity, but also the fundamental photoluminescence quantum yield has exhibited a huge, order-scale enhancement through suspending, even surprisingly, we found the PLQY improvement revealed far significantly under small pumping power and came out an exponential increase tendency toward even lower carrier density region. With its strong excitonic effect, suspended WSe_2 offers a solution to reduce carrier trapping and participate in non-radiative processes. Moreover, in the low-power range where SRH recombination dominates, suspended WSe_2 exhibited remarkably higher percentage of excitonic radiation compared to contacted WSe_2. Herein, we quantitatively demonstrate the significance of suspended WSe_2 monolayer at low carrier density region, highlighting its potential for developing compact, low-power quantum emitters in the future.","Tue, 27 Feb 2024 15:29:31 UTC (1,767 KB)"
"16",16,"Onset of Air Entrainment by a smooth plunging jet under atmospheric pressure","Alain Cartellier, Juan Lasheras","Fluid Dynamics (physics.flu-dyn)","The onset of air entrainment by a smooth vertical liquid jet impacting a pool of the same liquid has been experimentally determined. The ranges of parameters covered complement those considered by Lin & Donnelly (1969). The influence of the jet curvature is clarified. A model based on the viscous stress acting on the interface proves to be in good agreement with the experiments in the limit of very viscous liquids. For less viscous liquids, the critical capillary number happens to be mainly controlled by the ratio of the dynamic viscosity of the air and of the liquid. Besides, the observed evolution of the critical capillary number agrees with the mechanism suggested by Eggers (2001) that is based on the cusp dynamic.","Tue, 27 Feb 2024 15:09:06 UTC (459 KB)"
"17",17,"Integrated, bright, broadband parametric down-conversion source for quantum metrology and spectroscopy","René Pollmann, Franz Roeder, Victor Quiring, Raimund Ricken, Christof Eigner, Benjamin Brecht, Christine Silberhorn","Quantum Physics (quant-ph)","Broadband quantum light is a vital resource for quantum metrology and spectroscopy applications such as quantum optical coherence tomography or entangled two photon absorption. For entangled two photon absorption in particular, very high photon flux combined with high time-frequency entanglement is crucial for observing a signal. So far these conditions could be met by using high power lasers driving degenerate, type 0 bulk-crystal spontaneous parametric down conversion (SPDC) sources. This naturally limits the available wavelength ranges and precludes deterministic splitting of the generated output photons. In this work we demonstrate an integrated two-colour SPDC source utilising a group-velocity matched lithium niobate waveguide, reaching both exceptional brightness $1.52cdot10^6frac{mathrm{pairs}}{mathrm{s,mW,GHz}}$ and large bandwidth ($7.8,$THz FWHM) while pumped with a few mW of continuous wave (CW) laser light. By converting a narrow band pump to broadband pulses the created photon pairs show correlation times of $Delta 	au approx 120,	ext{fs}$ while maintaining the narrow bandwidth $Delta omega_p ll 1,	ext{MHz}$ of the CW pump light, yielding strong time-frequency entanglement. Furthermore our process can be adapted to a wide range of central wavelengths.","Tue, 27 Feb 2024 13:57:16 UTC (465 KB)"
"18",18,"Comparative study of photo-induced electronic transport along ferroelectric domain walls in lithium niobate single crystals","Lili Ding, Elke Beyreuther, Boris Koppitz, Konrad Kempf, Jianhua Ren, Weijin Chen, Michael Rüsing, Yue Zheng, Lukas M. Eng","Applied Physics (physics.app-ph)","Ferroelectric domain wall conductivity (DWC) is an intriguing functional property, that can be controlled through external stimuli such as electric and mechanical fields. Optical-field control, as a non-invasive flexible handle, has rarely been applied so far, but significantly expands the possibility for both tuning and probing DWC. On the one hand, as known from Second-Harmonic, Raman, and CARS micro-spectroscopy, the optical in-and-out approach delivers parameters on the DW distribution, the DW inclination, and probes the DW vibrational modes; on the other hand, photons might be applied also to directly generate charge carriers within the DW, hence acting as a functional and spectrally tunable probe to deduce the integral or local absorption properties and bandgaps of conductive DWs. Here, we report on such an optoelectronic approach by investigating the photo-induced DWC (PI-DWC) in DWs of the model system lithium niobate, a material that is well known for hosting conductive DWs. We compare three different crystals containing different numbers of domain walls: (A) none, (B) one, and (C) many conductive DWs. All samples are inspected for their current-voltage (I-V) behavior (i) in darkness, and (ii) for different illumination wavelengths swept from 500 nm down to 310 nm. All samples show their maximum PI-DWC at 310 nm, i.e., at the optical bandgap of lithium niobate; moreover, sample (C) reaches PI-DWCs of several $mu$A. Interestingly, a noticeable PI-DWC is also observed for sub-bandgap illumination, i.e., wavelengths as high as 500 nm, hinting towards the existence and decisive role of electronic in-gap states that contribute to the electronic transport along DWs. Finally, conductive atomic force microscopy (c-AFM) investigations under illumination proved that the PI-DWC is confined to the DW area, and does not originate from photo-induced bulk conductivity.","Tue, 27 Feb 2024 13:47:52 UTC (2,184 KB)"
"19",19,"Thermodynamics-informed super-resolution of scarce temporal dynamics data","Carlos Bermejo-Barbanoj, Beatriz Moya, Alberto Badías, Francisco Chinesta, Elías Cueto","Computational Physics (physics.comp-ph)","We present a method to increase the resolution of measurements of a physical system and subsequently predict its time evolution using thermodynamics-aware neural networks. Our method uses adversarial autoencoders, which reduce the dimensionality of the full order model to a set of latent variables that are enforced to match a prior, for example a normal distribution. Adversarial autoencoders are seen as generative models, and they can be trained to generate high-resolution samples from low-resoution inputs, meaning they can address the so-called super-resolution problem. Then, a second neural network is trained to learn the physical structure of the latent variables and predict their temporal evolution. This neural network is known as an structure-preserving neural network. It learns the metriplectic-structure of the system and applies a physical bias to ensure that the first and second principles of thermodynamics are fulfilled. The integrated trajectories are decoded to their original dimensionality, as well as to the higher dimensionality space produced by the adversarial autoencoder and they are compared to the ground truth solution. The method is tested with two examples of flow over a cylinder, where the fluid properties are varied between both examples.","Tue, 27 Feb 2024 13:46:45 UTC (3,624 KB)"
"20",20,"Collisional excitation of propyne (CH$_3$CCH) by He atoms","M. Ben Khalifa, B. Darna, J. Loreau","Astrophysics of Galaxies (astro-ph.GA)","A detailed interpretation of the detected emission lines of environments in which propyne (or methyl acetylene, CH$_3$CCH) is observed requires a knowledge of its collisional rate coefficients with the most abundant species in the interstellar medium, He or H$_2$. We present the first three-dimensional potential energy surface (3D-PES) for the CH$_3$CCH-He molecular complex, study the dynamics of the collision, and report the first set of rate coefficients for temperatures up to 100 K for the collisional excitation of the lowest 60 ortho rotational levels and 60 para rotational levels of CH$_3$CCH by He atoms. We computed the 3D-PES with the explicitly correlated coupled-cluster with single-, double-, and perturbative triple-excitation method, in conjunction with the augmented correlation-consistent triple zeta basis set (CCSD(T)-F12a/aug-cc-pVTZ). The 3D-PES was fitted to an analytical function. Scattering computations of pure rotational (de-)excitation of CH$_3$CCH by collision with He atoms were performed and the state-to-state cross sections were computed using the close coupling method for total energies up to 100 cm$^{-1}$ and with the coupled states approximation at higher energy for both ortho and para symmetries of CH$_3$CCH. The PES obtained is caracterized by a large anisotropy and a potential well depth of 51.04 cm$^{-1}$. By thermally averaging the collisional cross sections, we determined quenching rate coefficients for kinetic temperatures up to 100 K. A strong even $Delta j$ propensity rule at almost all collision energies exists for CH$_3$CCH-He complex. To evaluate the impact of rate coefficients in the analysis of observations, we carried out non-LTE radiative transfer computations of the excitation temperatures and we demonstrate that LTE conditions are typically not fulfilled for the propyne molecule.","Tue, 27 Feb 2024 13:17:19 UTC (550 KB)"
"21",21,"Equilibria and Dynamics of two coupled chains of interacting dipoles","Manuel Iñarrea, J.Pablo Salas, R.González-Férez, P.Schmelcher","Atomic and Molecular Clusters (physics.atm-clus)","We explore the energy transfer dynamics in an array of two chains of identical rigid interacting dipoles. A crossover between two different ground state (GS) equilibrium configurations is observed with varying distance between the two chains of the array. Linearizing around the GS configurations, we verify that interactions up to third nearest neighbors should be accounted for accurately describe the resulting dynamics. Starting with one of the GS, we excite the system by supplying it with an excess energy DK located initially on one of the dipoles. We study the time evolution of the array for different values of the system parameters b and DK. Our focus is hereby on two features of the energy propagation: the redistribution of the excess energy DK among the two chains and the energy localization along each chain. For typical parameter values, the array of dipoles reaches both the equipartition between the chains and the thermal equilibrium from the early stages of the time evolution. Nevertheless, there is a region in parameter space (b,DK) where even up to the long computation time of this study, the array does neither reach energy equipartition nor thermalization between chains. This fact is due to the existence of persistent chaotic breathers.","Tue, 27 Feb 2024 12:53:02 UTC (5,670 KB)"
"22",22,"Field, frequency and temperature dependence of the surface resistance of nitrogen diffused niobium superconducting radio frequency cavities","P. Dhakal, B.D. Khanal, A. Gurevich, G. Ciovati","Superconductivity (cond-mat.supr-con)","We report the RF performance of several single-cell superconducting radio-frequency cavities subjected to low temperature heat treatment in nitrogen environment. The cavities were treated at temperature 120 - 165 C for an extended period of time (24 - 48 hours) either in high vacuum or in a low partial pressure of ultra-pure nitrogen. The improvement in Q0 with a Q-rise was observed when nitrogen gas was injected at 300 C during the cavity cooldown from 800 C and held at 165 C, without any degradation in accelerating gradient over the baseline performance. The treatment was applied to several elliptical cavities with frequency ranging from 0.75 GHz to 3.0 GHz, showing an improved quality factor as a result of low temperature nitrogen treatments. The Q-rise feature is similar to that achieved by nitrogen alloying Nb cavities at higher temperature, followed by material removal by electropolishing. The surface modification was confirmed by the change in electronic mean free path and tuned with the temperature and duration of heat treatment. The decrease of the temperature-dependent surface resistance with increasing RF field, resulting in a Q-rise, becomes stronger with increasing frequency and decreasing temperature. The data suggest a crossover frequency of 0.95 GHz above which the Q-rise phenomenon occurs at 2 K. Some of these results can be explained qualitatively with an existing model which calculates the intrinsic field dependence of the surface resistance, considering both equilibrium and nonequilibrium quasiparticle distribution functions.","Tue, 27 Feb 2024 12:29:56 UTC (8,993 KB)"
"23",23,"Segment anything model for head and neck tumor segmentation with CT, PET and MRI multi-modality images","Jintao Ren, Mathis Rasmussen, Jasper Nijkamp, Jesper Grau Eriksen, Stine Korreman","Medical Physics (physics.med-ph)","Deep learning presents novel opportunities for the auto-segmentation of gross tumor volume (GTV) in head and neck cancer (HNC), yet fully automatic methods usually necessitate significant manual refinement. This study investigates the Segment Anything Model (SAM), recognized for requiring minimal human prompting and its zero-shot generalization ability across natural images. We specifically examine MedSAM, a version of SAM fine-tuned with large-scale public medical images. Despite its progress, the integration of multi-modality images (CT, PET, MRI) for effective GTV delineation remains a challenge. Focusing on SAM's application in HNC GTV segmentation, we assess its performance in both zero-shot and fine-tuned scenarios using single (CT-only) and fused multi-modality images. Our study demonstrates that fine-tuning SAM significantly enhances its segmentation accuracy, building upon the already effective zero-shot results achieved with bounding box prompts. These findings open a promising avenue for semi-automatic HNC GTV segmentation.","Tue, 27 Feb 2024 12:26:45 UTC (1,062 KB)"
"24",24,"Non-monotonic surface tension leads to spontaneous symmetry breaking in a binary evaporating drop","Christian Diddens, Pim J. Dekker, Detlef Lohse","Fluid Dynamics (physics.flu-dyn)","The evaporation of water/1,2-hexanediol binary drops shows remarkable segregation dynamics, with hexanediol-rich spots forming at the rim, thus breaking axisymmetry. While the segregation of hexanediol near the rim can be attributed to the preferential evaporation of water, the symmetry-breaking and spot formation could not yet be successfully explained. With three-dimensional simulations and azimuthal stability analysis of a minimal model, we investigate the flow and composition in the drop. We show that a slightly non-monotonic surface tension causes the emergence of a counter-rotating Marangoni vortex in the hexanediol-rich rim region, which subsequently becomes azimuthally unstable and forms the observed spots. Accurate measurements reveal that the surface tension is indeed non-monotonic (~0.3 mN/m). This work provides valuable insight for applications like inkjet printing or spray cooling.","Tue, 27 Feb 2024 12:15:40 UTC (6,691 KB)"
"25",25,"Skyrmion Generation in a Plasmonic Nanoantenna through the Inverse Faraday Effect","Xingyu Yang, Ye Mou, Bruno Gallas, Sébastien Bidault, Mathieu Mivelle","Optics (physics.optics)","Skyrmions are topological structures characterized by a winding vectorial configuration that provides a quantized topological charge. In magnetic materials, skyrmions are localized spin textures that exhibit unique stability and mobility properties, making them highly relevant to the burgeoning field of spintronics. In optics, these structures open new frontiers in manipulating and controlling light at the nanoscale. The convergence of optics and magnetics holds therefore immense potential for manipulating magnetic processes at ultrafast timescales. Here, we explore the possibility of generating skyrmionic topological structures within the magnetic field induced by the inverse Faraday effect in a plasmonic nanostructure. Our investigation reveals that a gold nanoring, featuring a dark mode, can generate counter-propagating photocurrents between its inner and outer segments, thereby enabling the magnetization of gold and supporting a skyrmionic vectorial distribution. We elucidate that these photocurrents arise from the localized control of light polarization, facilitating their counter-propagative motion. The generation of skyrmions through the inverse Faraday effect at the nanoscale presents a pathway towards directly integrating this topology into magnetic layers. This advancement holds promise for ultrafast timescales, offering direct applications in ultrafast data writing and processing.","Tue, 27 Feb 2024 11:35:47 UTC (8,014 KB)"
